"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"113"," Indonesia","4270","","4144","","4417","","5126","","5490","","5844","","6213","","6391","","5291","","5155","","5243","","5261","","5360","","6073","","6245","","6495","","6804","","7157","","7542","","7791","","8234","","8607","","9017","","9392","","9703","","10053",""
"69"," Iran (Islamic Republic of)","10206","","11261","","11459","","11193","","10749","","11044","","11295","","11363","","11481","","11348","","11894","","12018","","12850","","13779","","14161","","14584","","15279","","16530","","16507","","16628","","17520","","17952","","16596","","16063","","16543","","16395",""
"121"," Iraq","10720","","3538","","4390","","6333","","5857","","4648","","6751","","7931","","10404","","11817","","11787","","11709","","10473","","6973","","10473","","10847","","11601","","11510","","12483","","12467","","12538","","13189","","14462","","14635","","11740","","11608",""
"8"," Ireland","19546","","19909","","20290","","20752","","21947","","23489","","25607","","27725","","29683","","31562","","34312","","34918","","35660","","37727","","38764","","40625","","42710","","43293","","41714","","37459","","37816","","37621","","37824","","39458","","41947","","43798",""
"19"," Israel","17384","","18330","","19021","","19088","","19768","","20532","","21738","","21977","","22212","","22130","","23735","","24122","","23843","","23673","","24872","","25767","","26885","","28099","","28044","","27689","","28995","","30173","","30043","","30689","","31135","","31215",""
"26"," Italy","30354","","30746","","30934","","30725","","31330","","32341","","32830","","33590","","34090","","34742","","35942","","36584","","36569","","36444","","36899","","37183","","37903","","38155","","37138","","35233","","35664","","35783","","34722","","33705","","33332","","33573",""
"94"," Jamaica","7631","","7701","","7520","","8609","","8519","","8349","","8491","","8351","","8032","","8024","","8006","","7975","","7843","","8121","","8203","","8208","","8481","","8563","","8579","","8052","","8054","","8211","","8329","","8273","","8292","","8350",""
"17"," Japan","29742","","30645","","30873","","30858","","30994","","31484","","32326","","32834","","32096","","31942","","32611","","32777","","32780","","33275","","34119","","34717","","35458","","36375","","35948","","33794","","35343","","35384","","36089","","36816","","36967","","37268",""
"86"," Jordan","6279","","5916","","6759","","6759","","6778","","6994","","6924","","7102","","7275","","7399","","7821","","8140","","8377","","8580","","9167","","9634","","10075","","10548","","10794","","10820","","10354","","10230","","10118","","10109","","10126","","10111",""
"56"," Kazakhstan","13814","","12312","","11715","","10695","","9451","","8807","","8960","","9217","","9203","","9365","","9902","","11477","","12765","","13776","","14810","","15559","","16504","","17546","","17121","","18100","","18458","","19072","","19895","","21549","","22153","","22093",""
"146"," Kenya","2287","","2234","","2150","","2048","","2064","","2130","","2195","","2160","","2184","","2172","","2138","","2160","","2121","","2124","","2180","","2267","","2346","","2438","","2388","","2402","","2529","","2623","","2662","","2733","","2800","","2881",""
"137"," Kiribati","3163","","2206","","2103","","2009","","2058","","2198","","1858","","2344","","2706","","2553","","2516","","2508","","2480","","2272","","2213","","2260","","2289","","2224","","2258","","2552","","2556","","2344","","2606","","2929","","2442","","2475",""
